date,river_discharge,river_discharge_mean,river_discharge_median,river_discharge_max,river_discharge_min,river_discharge_p25,river_discharge_p75
2024-07-05 00:00:00+00:00,0.061695576,0.06213909,0.061695576,0.07894671,0.04712856,0.061695576,0.061695576
2024-07-06 00:00:00+00:00,0.061695576,0.061695576,0.061695576,0.061695576,0.061695576,0.061695576,0.061695576
2024-07-07 00:00:00+00:00,0.04712856,0.056088287,0.061695576,0.07894671,0.04712856,0.04712856,0.061695576
2024-07-08 00:00:00+00:00,0.04712856,0.047128573,0.04712856,0.04712856,0.04712856,0.04712856,0.04712856
2024-07-09 00:00:00+00:00,0.04712856,0.047128573,0.04712856,0.04712856,0.04712856,0.04712856,0.04712856
2024-07-10 00:00:00+00:00,0.03038609,0.03038609,0.03038609,0.03038609,0.03038609,0.03038609,0.03038609
2024-07-11 00:00:00+00:00,0.04712856,0.04443264,0.04712856,0.09395635,0.03038609,0.03038609,0.04712856
2024-07-12 00:00:00+00:00,0.061695576,0.06435768,0.061695576,0.09395635,0.061695576,0.061695576,0.061695576
2024-07-13 00:00:00+00:00,0.04712856,0.051515702,0.04712856,0.10917485,0.03038609,0.04712856,0.04712856
2024-07-14 00:00:00+00:00,0.04712856,0.047128573,0.04712856,0.04712856,0.04712856,0.04712856,0.04712856
2024-07-15 00:00:00+00:00,0.04712856,0.047128573,0.04712856,0.04712856,0.04712856,0.04712856,0.04712856
2024-07-16 00:00:00+00:00,0.04712856,0.03723739,0.03038609,0.061695576,0.03038609,0.03038609,0.04712856
2024-07-17 00:00:00+00:00,0.061695576,0.060816213,0.061695576,0.07894671,0.04712856,0.061695576,0.061695576
2024-07-18 00:00:00+00:00,0.04712856,0.049984846,0.04712856,0.061695576,0.04712856,0.04712856,0.04712856
2024-07-19 00:00:00+00:00,0.04712856,0.047128573,0.04712856,0.04712856,0.04712856,0.04712856,0.04712856
2024-07-20 00:00:00+00:00,0.03038609,0.03038609,0.03038609,0.03038609,0.03038609,0.03038609,0.03038609
2024-07-21 00:00:00+00:00,0.03038609,0.03038609,0.03038609,0.03038609,0.03038609,0.03038609,0.03038609
2024-07-22 00:00:00+00:00,0.061695576,0.05696462,0.04712856,0.09395635,0.03038609,0.04712856,0.06600836
2024-07-23 00:00:00+00:00,0.07894671,0.07894666,0.07894671,0.07894671,0.07894671,0.07894671,0.07894671
2024-07-24 00:00:00+00:00,0.04712856,0.05226455,0.04712856,0.10917485,0.03038609,0.04712856,0.061695576
2024-07-25 00:00:00+00:00,0.04712856,0.047128573,0.04712856,0.04712856,0.04712856,0.04712856,0.04712856
2024-07-26 00:00:00+00:00,0.03038609,0.03038609,0.03038609,0.03038609,0.03038609,0.03038609,0.03038609
2024-07-27 00:00:00+00:00,0.04712856,0.042447276,0.04712856,0.061695576,0.03038609,0.03038609,0.04712856
2024-07-28 00:00:00+00:00,0.14024973,0.13459288,0.12460494,0.20226443,0.09395635,0.12460494,0.1561122
2024-07-29 00:00:00+00:00,0.12460494,0.12675232,0.12460494,0.14024973,0.12460494,0.12460494,0.12460494
2024-07-30 00:00:00+00:00,0.12460494,0.12460503,0.12460494,0.12460494,0.12460494,0.12460494,0.12460494
2024-07-31 00:00:00+00:00,0.10917485,0.10917477,0.10917485,0.10917485,0.10917485,0.10917485,0.10917485
2024-08-01 00:00:00+00:00,0.08642566,0.086573385,0.08642566,0.09395635,0.08642566,0.08642566,0.08642566
2024-08-02 00:00:00+00:00,0.09395635,0.099586636,0.09395635,0.14024973,0.071519256,0.08642566,0.11686325
2024-08-03 00:00:00+00:00,0.14024973,0.15082593,0.14024973,0.27350307,0.08642566,0.12460494,0.17219532
2024-08-04 00:00:00+00:00,0.1561122,0.16241388,0.16412604,0.18032062,0.1561122,0.1561122,0.16412604
2024-08-05 00:00:00+00:00,0.10917485,0.115678154,0.11686325,0.14024973,0.10917485,0.10917485,0.11686325
2024-08-06 00:00:00+00:00,0.09395635,0.09395641,0.09395635,0.09395635,0.09395635,0.09395635,0.09395635
2024-08-07 00:00:00+00:00,0.09395635,0.09395641,0.09395635,0.09395635,0.09395635,0.09395635,0.09395635
2024-08-08 00:00:00+00:00,0.08642566,0.08867631,0.08642566,0.11686325,0.07894671,0.07894671,0.09395635
2024-08-09 00:00:00+00:00,0.07894671,0.08100074,0.07894671,0.09395635,0.07894671,0.07894671,0.08642566
2024-08-10 00:00:00+00:00,0.071519256,0.07443403,0.071519256,0.08642566,0.071519256,0.071519256,0.07894671
2024-08-11 00:00:00+00:00,0.071519256,0.07151931,0.071519256,0.071519256,0.071519256,0.071519256,0.071519256
2024-08-12 00:00:00+00:00,0.054386854,0.054386854,0.054386854,0.054386854,0.054386854,0.054386854,0.054386854
2024-08-13 00:00:00+00:00,0.04712856,0.047128573,0.04712856,0.04712856,0.04712856,0.04712856,0.04712856
2024-08-14 00:00:00+00:00,0.04712856,0.048939973,0.04712856,0.071519256,0.04712856,0.04712856,0.04712856
2024-08-15 00:00:00+00:00,0.071519256,0.047326714,0.03992021,0.07894671,0.03992021,0.03992021,0.048943132
2024-08-16 00:00:00+00:00,0.07894671,0.07923996,0.07894671,0.08642566,0.07894671,0.07894671,0.07894671
2024-08-17 00:00:00+00:00,0.054386854,0.054386854,0.054386854,0.054386854,0.054386854,0.054386854,0.054386854
2024-08-18 00:00:00+00:00,0.04712856,0.05205493,0.04712856,0.101539254,0.04712856,0.04712856,0.054386854
2024-08-19 00:00:00+00:00,0.07894671,0.08114455,0.08642566,0.12460494,0.054386854,0.071519256,0.09395635
2024-08-20 00:00:00+00:00,0.07894671,0.07894666,0.07894671,0.07894671,0.07894671,0.07894671,0.07894671
2024-08-21 00:00:00+00:00,0.071519256,0.07181057,0.071519256,0.07894671,0.071519256,0.071519256,0.071519256
2024-08-22 00:00:00+00:00,0.054386854,0.056155868,0.054386854,0.071519256,0.054386854,0.054386854,0.054386854
2024-08-23 00:00:00+00:00,0.04712856,0.0481258,0.04712856,0.061695576,0.04712856,0.04712856,0.04712856
2024-08-24 00:00:00+00:00,0.03992021,0.04076923,0.03992021,0.054386854,0.03992021,0.03992021,0.03992021
2024-08-25 00:00:00+00:00,0.03038609,0.033099037,0.03038609,0.04712856,0.03038609,0.03038609,0.03992021
2024-08-26 00:00:00+00:00,0.03038609,0.04088156,0.03038609,0.11686325,0.03038609,0.03038609,0.04712856
2024-08-27 00:00:00+00:00,0.03038609,0.042548396,0.03038609,0.1324004,0.03038609,0.03038609,0.04712856
2024-08-28 00:00:00+00:00,0.03038609,0.03883246,0.03038609,0.10917485,0.03038609,0.03038609,0.03992021
